[TOP PAGE] /	GET	L318	0.012711	L321	0.002447	L325	0.061207	L329	
[TOP PAGE] /	GET	L318	0.005678	L321	0.001363	L325	0.123791	L329	
[TOP PAGE] /	GET	L318	0.011842	L321	0.001212	L325	0.036462	L329	
[TOP PAGE] /	GET	L318	0.048081	L321	0.000440	L325	0.065649	L329	
[TOP PAGE] /	GET	L318	0.049761	L321	0.010104	L325	0.062978	L329	
[TOP PAGE] /	GET	L318	0.011241	L321	0.000640	L325	0.008158	L329	
[TOP PAGE] /	GET	L318	0.018296	L321	0.001180	L325	0.029757	L329	
[TOP PAGE] /	GET	L318	0.023640	L321	0.000464	L325	0.006550	L329	
[TOP PAGE] /	GET	L318	0.023562	L321	0.000473	L325	0.006324	L329	
[TOP PAGE] /	GET	L318	0.021251	L321	0.001104	L325	0.087639	L329	
[TOP PAGE] /	GET	L318	0.024599	L321	0.001175	L325	0.093971	L329	
[TOP PAGE] /	GET	L318	0.025267	L321	0.000940	L325	0.023339	L329	
[TOP PAGE] /	GET	L318	0.010289	L321	0.001491	L325	0.019548	L329	
[TOP PAGE] /	GET	L318	0.017109	L321	0.002802	L325	0.037832	L329	
[TOP PAGE] /	GET	L318	0.012026	L321	0.001757	L325	0.099607	L329	
[TOP PAGE] /	GET	L318	0.013262	L321	0.000560	L325	0.016168	L329	
[TOP PAGE] /	GET	L318	0.014069	L321	0.000966	L325	0.029044	L329	
[TOP PAGE] /	GET	L318	0.008828	L321	0.000855	L325	0.017843	L329	
[TOP PAGE] /	GET	L318	0.011961	L321	0.002028	L325	0.026757	L329	
[TOP PAGE] /	GET	L318	0.016419	L321	0.000655	L325	0.010877	L329	
[TOP PAGE] /	GET	L318	0.011350	L321	0.000468	L325	0.019777	L329	
[TOP PAGE] /	GET	L318	0.016527	L321	0.000814	L325	0.024390	L329	
[TOP PAGE] /	GET	L318	0.008862	L321	0.000904	L325	0.035077	L329	
[TOP PAGE] /	GET	L318	0.014835	L321	0.000477	L325	0.034044	L329	
[TOP PAGE] /	GET	L318	0.013336	L321	0.002530	L325	0.035995	L329	
[TOP PAGE] /	GET	L318	0.012897	L321	0.000913	L325	0.017177	L329	
[TOP PAGE] /	GET	L318	0.014037	L321	0.000475	L325	0.017898	L329	
[TOP PAGE] /	GET	L318	0.008166	L321	0.000391	L325	0.013919	L329	
[TOP PAGE] /	GET	L318	0.028298	L321	0.001097	L325	0.036329	L329	
[TOP PAGE] /	GET	L318	0.027541	L321	0.000732	L325	0.045925	L329	
[TOP PAGE] /	GET	L318	0.024431	L321	0.000959	L325	0.084256	L329	
[TOP PAGE] /	GET	L318	0.013094	L321	0.000461	L325	0.037035	L329	
[TOP PAGE] /	GET	L318	0.019792	L321	0.001489	L325	0.045771	L329	
[TOP PAGE] /	GET	L318	0.009745	L321	0.000812	L325	0.033703	L329	
[TOP PAGE] /	GET	L318	0.028171	L321	0.001600	L325	0.038085	L329	
[TOP PAGE] /	GET	L318	0.012244	L321	0.000781	L325	0.008181	L329	
[TOP PAGE] /	GET	L318	0.009489	L321	0.000417	L325	0.005405	L329	
[TOP PAGE] /	GET	L318	0.010040	L321	0.000790	L325	0.024612	L329	
[TOP PAGE] /	GET	L318	0.018765	L321	0.000416	L325	0.033877	L329	
[TOP PAGE] /	GET	L318	0.012501	L321	0.000485	L325	0.056252	L329	
[TOP PAGE] /	GET	L318	0.015558	L321	0.000770	L325	0.034592	L329	
[TOP PAGE] /	GET	L318	0.027010	L321	0.000789	L325	0.029279	L329	
[TOP PAGE] /	GET	L318	0.016529	L321	0.000620	L325	0.017436	L329	
[TOP PAGE] /	GET	L318	0.008949	L321	0.000924	L325	0.017969	L329	
[TOP PAGE] /	GET	L318	0.010061	L321	0.001059	L325	0.031502	L329	
[TOP PAGE] /	GET	L318	0.016032	L321	0.000560	L325	0.042365	L329	
[TOP PAGE] /	GET	L318	0.014041	L321	0.002372	L325	0.042160	L329	
[TOP PAGE] /	GET	L318	0.018554	L321	0.000724	L325	0.038788	L329	
[TOP PAGE] /	GET	L318	0.030539	L321	0.000809	L325	0.031666	L329	
[TOP PAGE] /	GET	L318	0.019980	L321	0.007293	L325	0.083316	L329	
[TOP PAGE] /	GET	L318	0.019956	L321	0.000592	L325	0.007185	L329	
[TOP PAGE] /	GET	L318	0.031299	L321	0.000368	L325	0.015048	L329	
[TOP PAGE] /	GET	L318	0.027655	L321	0.000824	L325	0.029476	L329	
[TOP PAGE] /	GET	L318	0.014274	L321	0.001751	L325	0.051096	L329	
[TOP PAGE] /	GET	L318	0.019284	L321	0.000852	L325	0.057932	L329	
[TOP PAGE] /	GET	L318	0.009477	L321	0.000649	L325	0.019583	L329	
[TOP PAGE] /	GET	L318	0.025941	L321	0.000693	L325	0.006107	L329	
[TOP PAGE] /	GET	L318	0.010649	L321	0.001286	L325	0.017458	L329	
[TOP PAGE] /	GET	L318	0.013840	L321	0.001794	L325	0.030997	L329	
[TOP PAGE] /	GET	L318	0.011580	L321	0.001946	L325	0.046834	L329	
[TOP PAGE] /	GET	L318	0.019469	L321	0.001084	L325	0.041649	L329	
[TOP PAGE] /	GET	L318	0.011920	L321	0.001520	L325	0.111119	L329	
